key_1,AC No,PS No,Point,Longitude,Latitide,key
39_9 ,39,9,9 - Gardhang H.S. School (W/W),91.60895237,23.09979576,39_9 
4_1 ,4,1,1 - Aambedkar Memorial High School (Purbangsha),91.2386,23.89531,4_1 
4_10 ,4,10,10 - Natunnagar H.S. Balika Vidyalaya (Madhyangsha),91.26632448,23.88378644,4_10 
4_11 ,4,11,11 - Patunagar Uccha Vidyalaya(Purbangsha),91.27356706,23.87983693,4_11 
4_12 ,4,12,12 - Nutan Nagar  H.S.Balilka  Vidyalaya (Purbangsha),91.26623013,23.88376916,4_12 
4_13 ,4,13,13 - Patunagar Uccha Vidyalaya(Pashchimangsha),91.27369706,23.87999795,4_13 
4_14 ,4,14,14 - Hatipara Samaj Shiksha Kendra,91.278171,23.8808,4_14 
4_15 ,4,15,15 - Purba Durjoynagar Uccha Vidyalaya (Purbangsha),91.27838,23.87418,4_15 
4_16 ,4,16,16 - Natunnagar Panchayet Office,91.28973013,23.87454135,4_16 
4_17 ,4,17,17 - Nutan Nagar  H.S.Balika Vidyalaya (Dakshin Purbangsha),91.26620869,23.88363569,4_17 
4_18 ,4,18,18 - Durjayanagar S.B. School(Pashchimangsha),91.26094914,23.88268797,4_18 
4_19 ,4,19,19 - Sukhamay H.S. School(Dakshinangsha),91.24799,23.8859,4_19 
4_2 ,4,2,2 - Aambedkar Memorial HighSchool (Pashchimangsha),91.23833,23.8953,4_2 
4_20 ,4,20,20 - Sukhamay H.S. School (Uttarangsha),91.24808377,23.88578,4_20 
4_21 ,4,21,21 - Lankamura H.S. School (N/W),91.24475951,23.86823,4_21 
4_22 ,4,22,22 - Lankamura H.S. School (S/W),91.24443708,23.86813496,4_22 
4_23 ,4,23,23 - Lankamura Ward No-3 J.B. School(Sharmalunga Bhumihin Colony),91.24170463,23.86541158,4_23 
4_24 ,4,24,24 - Langkamura H.S. School (W/W),91.24458705,23.86821442,4_24 
4_25 ,4,25,25 - Dakshin Langkamura J.B. School (Purbangsha),91.25112911,23.85911843,4_25 
